ExchangeID,ProductID,ProductName,ProductClass,VolumeMultiple,PriceTick,MaxMarketOrderVolume,MinMarketOrderVolume,MaxLimitOrderVolume,MinLimitOrderVolume,SessionName
SHFE,fu,燃料油,"1",10,1.0,500,1,500,1,FN2300
DCE,cs_o,玉米淀粉期权,"2",10,0.5,1000,1,1000,1,FN2300
SHFE,cu,铜,"1",5,10.0,500,1,500,1,FN0100
SHFE,cu_o,铜期权,"2",5,2.0,100,1,100,1,FN0100
DCE,eb,苯乙烯,"1",5,1.0,1000,1,1000,1,FN2300
DCE,eb_o,苯乙烯期权,"2",5,0.5,1000,1,1000,1,FN2300
INE,ec,SCFIS欧线,"1",50,0.1,30,1,500,1,FD0900
DCE,eg,乙二醇,"1",10,1.0,1000,1,1000,1,FN2300
DCE,eg_o,乙二醇期权,"2",10,0.5,1000,1,1000,1,FN2300
DCE,fb,纤维板,"1",10,0.5,1000,1,1000,1,FN2300
DCE,cs,玉米淀粉,"1",10,1.0,1000,1,1000,1,FN2300
SHFE,hc,热轧卷板,"1",10,1.0,500,1,500,1,FN2300
DCE,i,铁矿石,"1",100,0.5,1000,1,1000,1,FN2300
DCE,i_o,铁矿石期权,"2",100,0.1,100,1,1000,1,FN2300
DCE,j,冶金焦炭,"1",100,0.5,1000,1,1000,1,FN2300
DCE,jd,鲜鸡蛋,"1",10,1.0,300,1,300,1,FN2300
DCE,jd_o,鸡蛋期权,"2",10,0.5,300,1,300,1,FN2300
DCE,jm,焦煤,"1",60,0.5,1000,1,1000,1,FN2300
DCE,l,线型低密度聚乙烯,"1",5,1.0,1000,1,1000,1,FN2300
DCE,l_o,聚乙烯期权,"2",5,0.5,100,1,1000,1,FN2300
SHFE,au_o,黄金期权,"2",1000,0.02,100,1,100,1,FN0230
DCE,a,黄大豆1号,"1",10,1.0,1000,1,1000,1,FN2300
DCE,a_o,黄大豆1号期权,"2",10,0.5,1000,1,1000,1,FN2300
SHFE,ag,白银,"1",15,1.0,500,1,500,1,FN0230
SHFE,ag_o,白银期权,"2",15,0.5,100,1,100,1,FN0230
